Year ended June,Measure,Sport,Value,Value Unit,Value Label,Null Reason
2019,New ACC claims lodged for injuries related to rugby,Rugby League,9214,number,Number of claims,
2020,New ACC claims lodged for injuries related to rugby,Rugby League,4459,number,Number of claims,
2021,New ACC claims lodged for injuries related to rugby,Rugby League,7489,number,Number of claims,
2022,New ACC claims lodged for injuries related to rugby,Rugby League,5501,number,Number of claims,
2023,New ACC claims lodged for injuries related to rugby,Rugby League,7275,number,Number of claims,
2019,Active ACC claims lodged for injuries related to rugby,Rugby League,12280,number,Number of claims,
2020,Active ACC claims lodged for injuries related to rugby,Rugby League,6519,number,Number of claims,
2021,Active ACC claims lodged for injuries related to rugby,Rugby League,7873,number,Number of claims,
2022,Active ACC claims lodged for injuries related to rugby,Rugby League,6695,number,Number of claims,
2023,Active ACC claims lodged for injuries related to rugby,Rugby League,8255,number,Number of claims,
2019,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby League,21774083.73,nzd,NZD,
2020,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby League,17111437.97,nzd,NZD,
2021,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby League,17035409.32,nzd,NZD,
2022,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby League,16870461.63,nzd,NZD,
2023,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby League,21102734.29,nzd,NZD,
2019,New ACC claims lodged for injuries related to rugby,Rugby Union,62482,number,Number of claims,
2020,New ACC claims lodged for injuries related to rugby,Rugby Union,38633,number,Number of claims,
2021,New ACC claims lodged for injuries related to rugby,Rugby Union,67184,number,Number of claims,
2022,New ACC claims lodged for injuries related to rugby,Rugby Union,47111,number,Number of claims,
2023,New ACC claims lodged for injuries related to rugby,Rugby Union,54151,number,Number of claims,
2019,Active ACC claims lodged for injuries related to rugby,Rugby Union,72193,number,Number of claims,
2020,Active ACC claims lodged for injuries related to rugby,Rugby Union,52682,number,Number of claims,
2021,Active ACC claims lodged for injuries related to rugby,Rugby Union,72403,number,Number of claims,
2022,Active ACC claims lodged for injuries related to rugby,Rugby Union,61145,number,Number of claims,
2023,Active ACC claims lodged for injuries related to rugby,Rugby Union,66468,number,Number of claims,
2019,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby Union,89006539.54,nzd,NZD,
2020,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby Union,90062973.63,nzd,NZD,
2021,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby Union,98288777.87,nzd,NZD,
2022,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby Union,98478097.11,nzd,NZD,
2023,Costs of active ACC claims lodged for injuries related to rugby (excluding GST),Rugby Union,118444953.82,nzd,NZD,
