OBJECTID,ground,Asset_Number,Shape_Length,Shape_Area
1,Porirua Park,146155,2149.16558726073,94026.5732708167
2,Ascot Park,146030,1217.00754218033,83892.2996037472
3,Adventure Park,146020,735.693803045609,34219.9082914047
4,Cannons Creek Park,146049,1733.66839227045,92754.567313264
5,Cardiff Park,146051,738.227341385419,21771.6539754701
6,Elsdon Park,146066,972.016039580481,34164.6598467075
7,Endeavour Park,146067,841.998787825116,40569.0956209785
9,Kura Park,146100,631.702748559976,24884.2752940311
10,Mungavin Park Netball Courts,146118,887.181209432869,21882.3314759396
11,Natone Park,146122,914.913571454903,29085.0577226504
12,Ngatitoa Domain,146124,2108.82069431353,130707.06092179
13,Onepoto Park,146131,1374.85966496428,56956.3827825428
14,Postgate Park,146160,501.180922917588,12643.9200614348
15,Rangituhi Park,146168,762.007565238277,18737.7413479345
16,Whitby Tennis Courts,146218,371.52712708548,6880.55002269198
17,Jillet Park Tennis Courts,146090,447.230142026766,4588.24448683263
18,Waitangirua Park Courts,147738,166.381534571642,1304.69297804743
19,Lagden Reserve Tennis Court,899423,102.158634863822,606.188936577711
20,Makora Reserve Tennis Court,146106,438.256272073662,4745.0514896402
21,Pukerua Bay Tennis Courts,146164,216.646389706053,3001.16518162234
22,Cannons Creek Basketball Court,147640,143.58406949393,1096.57179314448
23,Waihora Park,146212,658.781595369754,20218.0902631736
24,Plimmerton Domain,147431,1756.54623074012,73765.3266910295
27,Plimmerton Tennis Courts,146151,235.381163553583,3496.23086356801
